Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides U2932_L1_rep1,Peptides U2932_L1_rep2,Razor + unique peptides U2932_L1_rep1,Razor + unique peptides U2932_L1_rep2,Unique peptides U2932_L1_rep1,Unique peptides U2932_L1_rep2,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Q-value,Score,Ratio H/L,Ratio H/L normalized,Ratio H/L variability [%],Ratio H/L count,Ratio H/L iso-count,Ratio H/L type,Ratio H/L U2932_L1_rep1,Ratio H/L normalized U2932_L1_rep1,Ratio H/L variability [%] U2932_L1_rep1,Ratio H/L count U2932_L1_rep1,Ratio H/L iso-count U2932_L1_rep1,Ratio H/L type U2932_L1_rep1,Ratio H/L U2932_L1_rep2,Ratio H/L normalized U2932_L1_rep2,Ratio H/L variability [%] U2932_L1_rep2,Ratio H/L count U2932_L1_rep2,Ratio H/L iso-count U2932_L1_rep2,Ratio H/L type U2932_L1_rep2,Sequence coverage U2932_L1_rep1 [%],Sequence coverage U2932_L1_rep2 [%],Intensity,Intensity L,Intensity H,Intensity U2932_L1_rep1,Intensity L U2932_L1_rep1,Intensity H U2932_L1_rep1,Intensity U2932_L1_rep2,Intensity L U2932_L1_rep2,Intensity H U2932_L1_rep2,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Deamidation (N) site IDs,Oxidation (M) site IDs,Deamidation (N) site positions,Oxidation (M) site positions
Q92945;M0R0I5;B4DV73;M0R3J3,Q92945;M0R0I5;B4DV73,5;3;3;1,5;3;3;1,5;3;3;1,Far upstream element-binding protein 2,KHSRP,">sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens GN=KHSRP PE=1 SV=4;>tr|M0R0I5|M0R0I5_HUMAN Far upstream element-binding protein 2 (Fragment) OS=Homo sapiens GN=KHSRP PE=4 SV=1;>tr|B4DV73|B4DV73_HUMAN cDNA FLJ51330, highly simi",4,5,5,5,4,3,4,3,4,3,8.2,8.2,8.2,73.114,711,711;279;364;269,0,35.301,0.92043,1.6855,27.512,7,0,Median,0.88537,1.5579,27.238,3,0,Median,0.92401,1.6964,31.657,4,0,Median,6.9,4.2,194640000,98581000,96054000,114780000,59299000,55482000,79855000,39283000,40572000,,,,1421,826;2981;3201;3287;3840,True;True;True;True;True,839;3048;3271;3359;3929,2560;8853;9491;9492;9493;9494;9764;9765;11529,4118;13611;13612;14618;14619;14620;14621;14622;14623;15044;15045;15046;17843,4118;13612;14619;15045;17843,,,,
P05387,P05387,1,1,1,60S acidic ribosomal protein P2,RPLP2,>sp|P05387|RLA2_HUMAN 60S acidic ribosomal protein P2 OS=Homo sapiens GN=RPLP2 PE=1 SV=1,1,1,1,1,1,1,1,1,1,1,13.9,13.9,13.9,11.665,115,115,0,11.228,1.1162,1.6851,0.78471,2,0,Median,NaN,NaN,NaN,1,0,Median,NaN,NaN,NaN,1,0,Median,13.9,13.9,44758000,20397000,24361000,26230000,11495000,14735000,18529000,8902100,9626400,,,,1027,3341,TRUE,3414,9895;9896,15276;15277,15277,,,,
E7EPD0;B4DJ44;B4DKQ5;O60784-3;O60784;B3KUF5;O60784-4;O60784-2;H7BYN7;B0QY02;Q6UW50;B3KUU1;B0QY01,E7EPD0;B4DJ44;B4DKQ5;O60784-3;O60784;B3KUF5;O60784-4;O60784-2,3;3;3;3;3;2;2;2;1;1;1;1;1,3;3;3;3;3;2;2;2;1;1;1;1;1,3;3;3;3;3;2;2;2;1;1;1;1;1,Target of Myb protein 1,TOM1,">tr|E7EPD0|E7EPD0_HUMAN Target of Myb protein 1 OS=Homo sapiens GN=TOM1 PE=2 SV=1;>tr|B4DJ44|B4DJ44_HUMAN cDNA FLJ54716, highly similar to Target of Myb protein 1 OS=Homo sapiens PE=2 SV=1;>tr|B4DKQ5|B4DKQ5_HUMAN cDNA FLJ54710, highly similar to Target of ",13,3,3,3,3,3,3,3,3,3,7.7,7.7,7.7,49.596,454,454;454;501;447;492;229;460;493;133;151;209;265;335,0,21.293,1.0756,1.6809,12.436,6,0,Median,1.1527,1.7327,10.968,3,0,Median,1.0037,1.6306,16.004,3,0,Median,7.7,7.7,146710000,73578000,73136000,86946000,44049000,42897000,59769000,29529000,30240000,,,,436,253;2717;5498,True;True;True,256;2777;5651,645;646;7796;7797;16668;16669,1012;1013;11863;11864;11865;11866;25563;25564,1013;11863;25564,,,,
O00425;O00425-2;F8WD15,O00425;O00425-2,9;6;1,9;6;1,8;6;1,Insulin-like growth factor 2 mRNA-binding protein 3,IGF2BP3,>sp|O00425|IF2B3_HUMAN Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens GN=IGF2BP3 PE=1 SV=2;>sp|O00425-2|IF2B3_HUMAN Isoform 2 of Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens GN=IGF2BP3,3,9,9,8,9,5,9,5,8,4,14.5,14.5,12.8,63.704,579,579;198;81,0,63.215,1.0775,1.6803,13.279,26,0,Median,1.084,1.6803,16.363,14,0,Median,1.0718,1.6864,9.0634,12,0,Median,14.5,10,441290000,201230000,240060000,284790000,125550000,159230000,156500000,75674000,80824000,,,,942,317;2176;3077;3331;3450;3537;3819;7386;7958,True;True;True;True;True;True;True;True;True,323;2231;3145;3404;3526;3616;3908;7581;8177,866;6398;9107;9108;9109;9110;9869;9870;9871;9872;9873;9874;9875;9876;9877;10173;10174;10474;10475;10476;10477;10478;10479;11452;22215;22216;22217;22218;24366;24367,1355;9838;14022;14023;14024;14025;14026;15236;15237;15238;15239;15240;15241;15242;15243;15244;15245;15246;15681;15682;16166;16167;16168;16169;16170;16171;16172;16173;16174;17719;33783;33784;33785;33786;37020;37021,1355;9838;14022;15237;15681;16169;17719;33785;37021,,,,
B7ZAZ3;M0QZI3;O14526-3;O14526-2;O14526;M0QZF0;M0R2J7;M0R107;M0QXW2;M0QZS1;M0QZE1;M0QY09;M0QXD1;M0R3E7;M0R3E5;M0QZI9;M0R1K4,B7ZAZ3;M0QZI3;O14526-3;O14526-2;O14526;M0QZF0;M0R2J7;M0R107;M0QXW2;M0QZS1;M0QZE1;M0QY09;M0QXD1;M0R3E7;M0R3E5;M0QZI9;M0R1K4,2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1,2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1,2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1,FCH domain only protein 1,FCHO1,">tr|B7ZAZ3|B7ZAZ3_HUMAN cDNA, FLJ79357, highly similar to Homo sapiens FCH domain only 1 (FCHO1), mRNA OS=Homo sapiens PE=2 SV=1;>tr|M0QZI3|M0QZI3_HUMAN FCH domain only protein 1 OS=Homo sapiens GN=FCHO1 PE=2 SV=1;>sp|O14526-3|FCHO1_HUMAN Isoform 3 of FCH ",17,2,2,2,2,2,2,2,2,2,2.6,2.6,2.6,91.04,839,839;896;839;888;889;92;97;101;111;125;135;155;175;185;218;236;264,0,13.388,0.95077,1.6761,9.9439,3,0,Median,0.93589,1.6493,2.2753,2,0,Median,NaN,NaN,NaN,1,0,Median,2.6,2.6,46815000,23078000,23738000,31227000,16086000,15141000,15588000,6991600,8596500,,,,631,4124;4797,True;True,4219;4916,12386;12387;14485;14486,19116;19117;19118;22391;22392,19118;22392,,,,
O15084-2;O15084;O15084-4;O15084-1;B4DIW9;B3KWN0;Q8NB46,O15084-2;O15084;O15084-4;O15084-1,3;3;3;3;1;1;1,3;3;3;3;1;1;1,3;3;3;3;1;1;1,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,ANKRD28,>sp|O15084-2|ANR28_HUMAN Isoform 2 of Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Homo sapiens GN=ANKRD28;>sp|O15084|ANR28_HUMAN Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Homo sapiens GN,7,3,3,3,2,2,2,2,2,2,3.4,3.4,3.4,96.16,899,899;1053;1083;1086;722;1076;1076,0,17.662,1.1374,1.6752,9.8459,4,0,Median,1.1392,1.6781,7.3937,2,0,Median,1.0884,1.5913,14.421,2,0,Median,2.3,2.4,61190000,29640000,31550000,44049000,21170000,22879000,17141000,8470200,8671100,,,,955,2401;5553;7262,True;True;True,2457;5711;7452,7004;7005;16840;21900,10700;10701;10702;25804;33325,10700;25804;33325,,,,
B4DZZ1;I3L1L3;Q9BQG0;Q9BQG0-2,B4DZZ1;I3L1L3;Q9BQG0;Q9BQG0-2,2;2;2;2,2;2;2;2,2;2;2;2,Myb-binding protein 1A,MYBBP1A,">tr|B4DZZ1|B4DZZ1_HUMAN cDNA FLJ57836, highly similar to Myb-binding protein 1A OS=Homo sapiens PE=2 SV=1;>tr|I3L1L3|I3L1L3_HUMAN Myb-binding protein 1A (Fragment) OS=Homo sapiens GN=MYBBP1A PE=4 SV=1;>sp|Q9BQG0|MBB1A_HUMAN Myb-binding protein 1A OS=Homo s",4,2,2,2,0,2,0,2,0,2,3.6,3.6,3.6,67.558,603,603;1252;1328;1332,0,11.207,1.0478,1.6747,1.3047,2,0,Median,NaN,NaN,NaN,0,0,Median,1.0478,1.6747,1.3047,2,0,Median,0,3.6,22627000,9672200,12955000,0,0,0,22627000,9672200,12955000,,,,547,3887;4624,True;True,3979;4733,11689;14024,18071;21686,18071;21686,,,,
E9PKZ0;P62917;G3V1A1;B4DVG7;E9PKU4;E9PP36,E9PKZ0;P62917;G3V1A1;B4DVG7;E9PKU4,5;5;4;4;4;2,5;5;4;4;4;2,5;5;4;4;4;2,60S ribosomal protein L8,RPL8,>tr|E9PKZ0|E9PKZ0_HUMAN 60S ribosomal protein L8 (Fragment) OS=Homo sapiens GN=RPL8 PE=2 SV=1;>sp|P62917|RL8_HUMAN 60S ribosomal protein L8 OS=Homo sapiens GN=RPL8 PE=1 SV=2;>tr|G3V1A1|G3V1A1_HUMAN 60S ribosomal protein L8 OS=Homo sapiens GN=RPL8 PE=2 SV=1,6,5,5,5,4,3,4,3,4,3,30.7,30.7,30.7,22.389,205,205;257;167;188;235;148,0,62.506,1.111,1.6737,6.1223,11,0,Median,1.1136,1.6737,3.7612,5,0,Median,1.1073,1.6776,7.7854,6,0,Median,27.3,16.6,1877200000,861970000,1015300000,1115100000,516190000,598860000,762190000,345780000,416420000,,,,763,644;714;776;1033;6296,True;True;True;True;True,656;727;789;1054;6472,1835;1836;2072;2449;2450;2451;2452;2453;2454;2455;2456;3136;19037,2812;2813;2814;2815;2816;3173;3960;3961;3962;3963;3964;3965;3966;3967;3968;3969;3970;3971;3972;3973;3974;3975;4959;29069,2812;3173;3965;4959;29069,,,,
P27448-8;P27448-6;P27448-3;P27448-4;P27448;J3KNR0;P27448-2;P27448-7;B4DKN1;H0YIY6;H0YNV4;Q86U11;B4DIB3;Q9P0L2-3;Q9P0L2;Q59FB8;A2SY06,P27448-8;P27448-6;P27448-3;P27448-4;P27448;J3KNR0;P27448-2;P27448-7;B4DKN1;H0YIY6,5;5;5;5;5;4;4;4;3;3;2;2;2;2;2;1;1,4;4;4;4;4;4;4;4;3;3;1;2;1;1;1;1;1,4;4;4;4;4;4;4;4;3;3;1;2;1;1;1;1;1,MAP/microtubule affinity-regulating kinase 3,MARK3,>sp|P27448-8|MARK3_HUMAN Isoform 7 of MAP/microtubule affinity-regulating kinase 3 OS=Homo sapiens GN=MARK3;>sp|P27448-6|MARK3_HUMAN Isoform 5 of MAP/microtubule affinity-regulating kinase 3 OS=Homo sapiens GN=MARK3;>sp|P27448-3|MARK3_HUMAN Isoform 3 of MA,17,5,4,4,3,3,2,3,2,3,9.6,7.7,7.7,74.15,659,659;713;729;744;753;776;752;760;462;505;178;431;780;758;795;203;331,0,41.468,1.002,1.6715,25.635,3,0,Median,0.91636,1.6656,12.782,2,1,Median,0.95034,1.3725,27.874,2,0,Median,5.8,5.2,52944000,29063000,23881000,37070000,20869000,16201000,15874000,8193900,7679700,,,,1103,2100;5823;7269;7282;8449,True;False;True;True;True,2152;5991;7460;7475;8684,6202;17591;21926;21927;21954;21955;25705,9567;26912;33358;33359;33360;33395;33396;39054,9567;26912;33360;33395;39054,,,,
P30050;Q59FI9;D3DS95;P30050-2,P30050;Q59FI9;D3DS95;P30050-2,5;4;3;3,5;4;3;3,5;4;3;3,60S ribosomal protein L12,RPL12;hCG_21173,">sp|P30050|RL12_HUMAN 60S ribosomal protein L12 OS=Homo sapiens GN=RPL12 PE=1 SV=1;>tr|Q59FI9|Q59FI9_HUMAN Ribosomal protein L12 variant (Fragment) OS=Homo sapiens PE=2 SV=1;>tr|D3DS95|D3DS95_HUMAN HCG21173, isoform CRA_a OS=Homo sapiens GN=hCG_21173 PE=4 ",4,5,5,5,4,5,4,5,4,5,39.4,39.4,39.4,17.818,165,165;197;94;132,0,54.783,1.1273,1.6693,7.9684,12,0,Median,1.1217,1.6608,9.4874,7,0,Median,1.1329,1.6768,5.4056,5,0,Median,30.3,39.4,4814700000,2107900000,2706800000,2372900000,1036800000,1336100000,2441800000,1071100000,1370700000,,,,1114,878;1564;2961;3221;3558,True;True;True;True;True,892;1606;3028;3293;3639,2671;2672;4706;4707;4708;8785;9581;9582;9583;9584;9585;10538;10539,4272;4273;4274;7400;7401;7402;7403;7404;7405;7406;7407;7408;13495;13496;13497;13498;13499;14775;14776;14777;14778;14779;14780;14781;14782;14783;14784;14785;16262;16263,4274;7406;13496;14776;16262,,,,
Q59FU3;B4E0X8;B4DWL1;E9PEB5;B4DT31;Q96AE4;Q96AE4-2;Q6PJY1;Q96I24-2,Q59FU3;B4E0X8;B4DWL1;E9PEB5;B4DT31;Q96AE4;Q96AE4-2,3;3;3;3;3;3;3;1;1,2;2;2;2;2;2;2;0;0,2;2;2;2;2;2;2;0;0,Far upstream element-binding protein 1,FUBP1,">tr|Q59FU3|Q59FU3_HUMAN Far upstream element-binding protein variant (Fragment) OS=Homo sapiens PE=2 SV=1;>tr|B4E0X8|B4E0X8_HUMAN cDNA FLJ61021, highly similar to Far upstream element-binding protein 1 OS=Homo sapiens PE=2 SV=1;>tr|B4DWL1|B4DWL1_HUMAN cDNA",9,3,2,2,2,2,1,2,1,2,6.5,4.7,4.7,52.064,493,493;629;642;655;665;644;653;304;261,0,14.44,0.93665,1.6677,4.1706,2,0,Median,NaN,NaN,NaN,1,0,Median,NaN,NaN,NaN,1,0,Median,4.5,4.7,23333000,12649000,10685000,15152000,8459100,6693300,8180900,4189500,3991400,,,,506,1948;2671;3455,False;True;True,1997;2731;3531,5844;7671;10185;10186,9033;11685;15697;15698;15699;15700,9033;11685;15700,,,,
Q9NYS3;Q9NQT5-2;Q9NQT5,Q9NYS3;Q9NQT5-2;Q9NQT5,1;1;1,1;1;1,1;1;1,Exosome complex component RRP40,PNAS-3;EXOSC3,>tr|Q9NYS3|Q9NYS3_HUMAN Apoptosis-related protein PNAS-3 (Fragment) OS=Homo sapiens GN=PNAS-3 PE=2 SV=1;>sp|Q9NQT5-2|EXOS3_HUMAN Isoform 2 of Exosome complex component RRP40 OS=Homo sapiens GN=EXOSC3;>sp|Q9NQT5|EXOS3_HUMAN Exosome complex component RRP40 O,3,1,1,1,1,1,1,1,1,1,13.9,13.9,13.9,8.4434,79,79;164;275,0.0080537,6.3592,1.1808,1.6566,7.1849,4,0,Median,1.1342,1.6034,0.26256,2,0,Median,1.2797,1.7856,6.2429,2,0,Median,13.9,13.9,42602000,20391000,22211000,25126000,11512000,13614000,17475000,8878800,8596500,,,,1486,2282,TRUE,2337,6654;6655;6656;6657,10210;10211;10212;10213,10210,,,,
Q96II8;Q96II8-2;B4DEQ7;B4E0T7;Q96II8-3;E9PD99;B4DU23;F5H3V2;B3KP65;H7C0J8;H7C0F9;H7C1G3;F8WFB5,Q96II8;Q96II8-2;B4DEQ7;B4E0T7;Q96II8-3;E9PD99;B4DU23,26;26;25;24;23;19;19;12;12;6;5;5;3,26;26;25;24;23;19;19;12;12;6;5;5;3,22;22;21;20;21;16;16;10;10;4;3;3;3,Leucine-rich repeat and calponin homology domain-containing protein 3,LRCH3,>sp|Q96II8|LRCH3_HUMAN Leucine-rich repeat and calponin homology domain-containing protein 3 OS=Homo sapiens GN=LRCH3 PE=1 SV=2;>sp|Q96II8-2|LRCH3_HUMAN Isoform 2 of Leucine-rich repeat and calponin homology domain-containing protein 3 OS=Homo sapiens GN=L,13,26,26,22,23,24,23,24,20,20,31,31,27.7,86.082,777,777;803;803;725;712;623;623;372;372;227;181;214;92,0,323.31,1.0263,1.6376,24.191,153,0,Median,1.0237,1.6166,28.589,84,0,Median,1.0267,1.658,16.588,69,0,Median,28.2,30,17135000000,8100900000,9033600000,10683000000,5042700000,5640600000,6451200000,3058200000,3393000000,,,,1435,405;406;918;1379;1380;2222;3079;3500;3554;4210;5182;5386;5525;5527;5575;5694;5947;5948;6053;6129;6201;6203;6225;6880;7819;8383,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,411;412;933;1416;1417;2277;3147;3579;3634;4306;5309;5536;5680;5682;5736;5856;6117;6118;6226;6303;6376;6378;6400;7062;8032;8611,1091;1092;1093;1094;1095;1096;1097;1098;1099;1100;1101;2816;4165;4166;4167;6489;6490;6491;9113;9114;9115;9116;9117;9118;9119;9120;9121;9122;9123;10327;10328;10329;10330;10331;10332;10333;10334;10335;10336;10337;10338;10339;10340;10341;10342;10343;10344;10345;10346;10517;10518;10519;10520;10521;10522;10523;10524;10525;10526;10527;10528;10529;12631;15790;15791;15792;15793;15794;15795;15796;15797;15798;15799;15800;15801;15802;15803;15804;15805;15806;15807;15808;15809;15810;15811;15812;15813;15814;16365;16366;16367;16368;16369;16370;16371;16372;16373;16374;16375;16376;16746;16747;16748;16749;16750;16753;16754;16755;16756;16757;16758;16759;16760;16761;16916;16917;16918;16919;16920;16921;17173;17174;17175;17176;17177;17894;17895;17896;17897;17898;17899;17900;17901;17902;18198;18486;18487;18488;18489;18490;18491;18720;18721;18724;18725;18810;18811;18812;18813;18814;18815;18816;18817;18818;18819;20648;23959;23960;25533;25534;25535;25536;25537;25538,1666;1667;1668;1669;1670;1671;1672;1673;1674;1675;1676;1677;1678;1679;1680;1681;1682;1683;1684;1685;1686;1687;4486;6602;6603;6604;6605;6606;6607;6608;9963;9964;9965;14029;14030;14031;14032;14033;14034;14035;14036;14037;14038;14039;14040;14041;14042;14043;14044;14045;14046;14047;15915;15916;15917;15918;15919;15920;15921;15922;15923;15924;15925;15926;15927;15928;15929;15930;15931;15932;15933;15934;15935;15936;15937;15938;15939;15940;15941;15942;15943;15944;15945;15946;16229;16230;16231;16232;16233;16234;16235;16236;16237;16238;16239;16240;16241;16242;16243;16244;16245;16246;16247;16248;16249;16250;19494;24248;24249;24250;24251;24252;24253;24254;24255;24256;24257;24258;24259;24260;24261;24262;24263;24264;24265;24266;24267;24268;24269;24270;24271;24272;24273;24274;24275;24276;24277;24278;24279;24280;24281;24282;24283;24284;24285;24286;24287;24288;24289;24290;24291;24292;24293;24294;24295;24296;25090;25091;25092;25093;25094;25095;25096;25097;25098;25099;25100;25101;25102;25103;25104;25105;25106;25107;25108;25109;25110;25111;25112;25113;25114;25115;25116;25672;25673;25674;25675;25676;25677;25681;25682;25683;25684;25685;25686;25687;25688;25689;25690;25691;25692;25693;25916;25917;25918;25919;25920;25921;25922;25923;25924;25925;25926;25927;26267;26268;26269;26270;26271;27345;27346;27347;27348;27349;27350;27351;27352;27353;27354;27355;27356;27357;27358;27359;27360;27361;27789;27790;28243;28244;28245;28246;28247;28248;28249;28250;28251;28252;28620;28621;28622;28623;28624;28625;28626;28629;28630;28631;28632;28759;28760;28761;28762;28763;28764;28765;28766;28767;28768;28769;28770;31405;31406;31407;36411;36412;36413;38770;38771;38772;38773;38774;38775;38776;38777;38778;38779,1667;1687;4486;6602;6606;9964;14031;15921;16240;19494;24282;25108;25677;25684;25924;26267;27346;27361;27789;28246;28622;28631;28762;31405;36411;38776,,,,
Q13151,Q13151,1,1,1,Heterogeneous nuclear ribonucleoprotein A0,HNRNPA0,>sp|Q13151|ROA0_HUMAN Heterogeneous nuclear ribonucleoprotein A0 OS=Homo sapiens GN=HNRNPA0 PE=1 SV=1,1,1,1,1,1,1,1,1,1,1,4.9,4.9,4.9,30.84,305,305,0.0035663,6.7037,1.2174,1.6322,3.9099,2,0,Median,NaN,NaN,NaN,1,0,Median,NaN,NaN,NaN,1,0,Median,4.9,4.9,38722000,16733000,21989000,17770000,8433000,9337100,20952000,8300000,12652000,,,,1260,2342,TRUE,2398,6832;6833,10471;10472;10473,10473,,,,
F8WJN3;Q16630-3;Q16630;Q16630-2;B4DSU9,F8WJN3;Q16630-3;Q16630;Q16630-2;B4DSU9,4;4;4;4;2,4;4;4;4;2,4;4;4;4;2,Cleavage and polyadenylation specificity factor subunit 6,CPSF6,>tr|F8WJN3|F8WJN3_HUMAN Cleavage and polyadenylation-specificity factor subunit 6 OS=Homo sapiens GN=CPSF6 PE=2 SV=1;>sp|Q16630-3|CPSF6_HUMAN Isoform 3 of Cleavage and polyadenylation specificity factor subunit 6 OS=Homo sapiens GN=CPSF6;>sp|Q16630|CPSF6_H,5,4,4,4,3,2,3,2,3,2,12.8,12.8,12.8,52.269,478,478;478;551;588;300,0,31.496,1.153,1.6299,9.2394,6,0,Median,1.153,1.6083,10.912,4,0,Median,1.1178,1.6476,1.7978,2,0,Median,9.6,6.5,172370000,77003000,95364000,139590000,62144000,77450000,32774000,14859000,17914000,,,,811,2328;2591;6062;7828,True;True;True;True,2384;2650;6236;8041,6800;6801;7461;18244;23988;23989,10418;10419;11375;11376;11377;27870;36460;36461,10418;11375;27870;36461,,,,
O75533;A0JLT9;Q32Q20;A0PJH5;Q7Z497,O75533;A0JLT9;Q32Q20;A0PJH5;Q7Z497,2;1;1;1;1,2;1;1;1;1,2;1;1;1;1,Splicing factor 3B subunit 1,SF3B1,>sp|O75533|SF3B1_HUMAN Splicing factor 3B subunit 1 OS=Homo sapiens GN=SF3B1 PE=1 SV=3;>tr|A0JLT9|A0JLT9_HUMAN SF3B1 protein (Fragment) OS=Homo sapiens GN=SF3B1 PE=2 SV=1;>tr|Q32Q20|Q32Q20_HUMAN SF3B1 protein (Fragment) OS=Homo sapiens GN=SF3B1 PE=1 SV=1;>,5,2,2,2,2,1,2,1,2,1,2.1,2.1,2.1,145.83,1304,1304;496;501;501;789,0,12.833,0.9293,1.6288,4.7355,3,0,Median,0.92476,1.6115,6.6396,2,0,Median,NaN,NaN,NaN,1,0,Median,2.1,0.7,76017000,38663000,37354000,48965000,24666000,24298000,27053000,13997000,13056000,,,,985,3618;7621,True;True,3701;7825,10691;23307;23308,16492;35405;35406,16492;35405,,,,
M0QXS5;B2R959;Q6NTA2;P14866;M0QYL7;M0R1W6,M0QXS5;B2R959;Q6NTA2;P14866;M0QYL7;M0R1W6,2;2;2;2;1;1,1;1;1;1;1;1,1;1;1;1;1;1,Heterogeneous nuclear ribonucleoprotein L,HNRNPL,">tr|M0QXS5|M0QXS5_HUMAN Heterogeneous nuclear ribonucleoprotein L (Fragment) OS=Homo sapiens GN=HNRNPL PE=4 SV=1;>tr|B2R959|B2R959_HUMAN cDNA, FLJ94229, highly similar to Homo sapiens heterogeneous nuclear ribonucleoprotein L (HNRPL),mRNA OS=Homo sapiens P",6,2,1,1,2,1,1,1,1,1,3.6,1.9,1.9,58.362,530,530;558;572;589;198;220,0,8.7207,1.0119,1.6195,48.354,6,0,Median,1.0793,1.7402,64.575,3,0,Median,0.97498,1.5576,40.53,3,0,Median,3.6,1.9,126560000,59382000,67183000,63041000,31472000,31569000,63524000,27910000,35614000,,,,278,2168;7253,False;True,2223;7443,6374;6375;21870;21871;21872;21873;21874;21875;21876,9807;9808;9809;33275;33276;33277;33278;33279;33280;33281;33282,9809;33277,,,,
Q96T76-9;Q96T76;Q96T76-8;H7C1W5;F8WCH8;B0QZ77;Q5T454;Q96T76-7;Q96T76-5,Q96T76-9;Q96T76;Q96T76-8;H7C1W5;F8WCH8;B0QZ77;Q5T454;Q96T76-7;Q96T76-5,2;2;2;1;1;1;1;1;1,2;2;2;1;1;1;1;1;1,2;2;2;1;1;1;1;1;1,MMS19 nucleotide excision repair protein homolog,MMS19,>sp|Q96T76-9|MMS19_HUMAN Isoform 6 of MMS19 nucleotide excision repair protein homolog OS=Homo sapiens GN=MMS19;>sp|Q96T76|MMS19_HUMAN MMS19 nucleotide excision repair protein homolog OS=Homo sapiens GN=MMS19 PE=1 SV=2;>sp|Q96T76-8|MMS19_HUMAN Isoform 5 of,9,2,2,2,2,1,2,1,2,1,2.7,2.7,2.7,108.38,987,987;1030;1051;149;173;277;302;318;932,0,12.315,0.92497,1.6132,14.448,3,0,Median,0.96417,1.6905,6.6176,2,0,Median,NaN,NaN,NaN,1,0,Median,2.7,1.6,37646000,19635000,18011000,26792000,13200000,13591000,10855000,6434300,4420300,,,,1441,325;4692,True;True,331;4805,879;880;14232,1377;1378;22017;22018,1377;22017,,,,
C9JAT7;F5GYB1;B4E126;O94888,C9JAT7;F5GYB1;B4E126;O94888,2;2;2;2,2;2;2;2,2;2;2;2,UBX domain-containing protein 7,UBXN7,">tr|C9JAT7|C9JAT7_HUMAN UBX domain-containing protein 7 OS=Homo sapiens GN=UBXN7 PE=2 SV=1;>tr|F5GYB1|F5GYB1_HUMAN UBX domain-containing protein 7 OS=Homo sapiens GN=UBXN7 PE=2 SV=1;>tr|B4E126|B4E126_HUMAN cDNA FLJ61199, highly similar to UBX domain-contai",4,2,2,2,1,1,1,1,1,1,5.5,5.5,5.5,37.312,327,327;341;341;489,0,11.018,1.1384,1.6116,12.39,3,0,Median,1.1385,1.6341,1.9659,2,0,Median,NaN,NaN,NaN,1,0,Median,2.8,2.8,6704600,3590600,3114100,3625100,2091000,1534000,3079600,1499500,1580000,,,,555,1992;6231,True;True,2042;6406,5971;18847;18848,9235;28810;28811,9235;28810,,,,
B4DDG3;Q05048,B4DDG3;Q05048,2;2,2;2,2;2,Cleavage stimulation factor subunit 1,CSTF1,">tr|B4DDG3|B4DDG3_HUMAN cDNA FLJ51688, highly similar to Cleavage stimulation factor 50 kDa subunit OS=Homo sapiens PE=2 SV=1;>sp|Q05048|CSTF1_HUMAN Cleavage stimulation factor subunit 1 OS=Homo sapiens GN=CSTF1 PE=1 SV=1",2,2,2,2,1,2,1,2,1,2,6.2,6.2,6.2,46.836,418,418;431,0,12.466,1.0646,1.6089,6.6214,3,0,Median,NaN,NaN,NaN,1,0,Median,1.0901,1.5239,7.6753,2,0,Median,2.9,6.2,34111000,17824000,16287000,15598000,8624300,6973600,18513000,9199900,9313500,,,,400,288;5461,True;True,294;5614,769;16585;16586,1196;25424;25425,1196;25425,,,,
Q9BTL3,Q9BTL3,1,1,1,RNMT-activating mini protein,FAM103A1,>sp|Q9BTL3|RAM_HUMAN RNMT-activating mini protein OS=Homo sapiens GN=FAM103A1 PE=1 SV=1,1,1,1,1,1,1,1,1,1,1,12.7,12.7,12.7,14.381,118,118,0.0014599,6.879,1.0162,1.6048,4.1495,2,0,Median,NaN,NaN,NaN,1,0,Median,NaN,NaN,NaN,1,0,Median,12.7,12.7,7570000,3652600,3917400,4855000,2242000,2613000,2715000,1410600,1304400,,,,1451,6236,TRUE,6411,18870;18871,28846;28847,28846,,,,
