ProteinID,tSNE_x_dim,tSNE_y_dim,Organelle_annotation,Detailed_manual_annotation
O15118;O15118-2,8.069974089,-30.94373832,,
O15126;O15126-2,23.40391998,6.290101352,,
O15127,43.65878035,4.23667931,,
O15143,56.84092636,-12.27675203,Cytoplasm,Arp2/3 complex
O15144,56.39322035,-11.81282198,Cytoplasm,Arp2/3 complex
O15145,56.8970682,-11.61778207,Cytoplasm,Arp2/3 complex
O15155;O15155-2,45.76165545,-34.01609661,ER,
O15160;O15160-2,-30.79571417,-14.10816472,Nucleus,
O15162-2;O15162,14.11639683,37.86408072,Nucleus,
O15164;O15164-2,-18.1802859,17.85523241,,
O15173;O15173-2,28.76099658,-45.71494232,,
O15212,-29.61705935,-8.215905973,,
O15213,-56.56704249,23.00945097,Nucleolus,
O15226-2;O15226,-23.50410349,50.77556292,Nucleolus,
O15228;O15228-2,44.39565578,-22.50288859,,
O15230,2.157549732,-18.39506291,Secreted,
O15231-3;O15231-2,55.24425782,1.379046548,Cytoplasm,
O15235,-13.52658512,27.96279467,Mitochondrion,
O15254;O15254-2,5.82667648,-43.7363753,,
O15258,29.15477605,-19.76869366,,
O15260;O15260-2;O15260-3,26.90369222,-44.04909413,ER,
O15269,10.99827322,39.2154136,ER,
O15270,46.24257292,17.27765275,ER,
O15294,-7.150670933,35.48944888,,
O15305,-59.27895414,-19.75747218,Cytoplasm,
O15320-8;O15320-6,4.098287124,14.98821119,ER,
O15347,-18.27548321,52.4433871,,
O15355,-16.09422498,57.24495665,Cytoplasm,
O15357;O15357-2,24.83325154,-4.425133528,Cytoplasm,
O15371;O15371-3,-52.06042254,-19.80660582,Cytoplasm,
O15372,-52.31808059,-17.62908492,Cytoplasm,
O15379;O15379-2,-31.713252,22.27762593,,
O15381;O15381-2;O15381-5;O15381-4,-4.540829317,55.46338454,Nucleolus,
O15382;O15382-2,4.898576294,-48.03630012,Mitochondrion,
O15397;O15397-2,5.273635473,69.44358445,,
O15400-2;O15400,49.11866047,13.47243286,,
O15427,59.38939497,-0.628224359,,
O15439;O15439-2;O15439-3;O15439-4,49.92539969,11.99611327,,
O15446-2,-6.483859012,48.75900079,Nucleolus,
O15460-2;O15460,11.80408126,25.80699855,ER,
O15498;O15498-2,-30.65315558,-3.015874742,Cytoplasm,
O15504,-7.610095589,15.1481047,Nucleus,
O15511;O15511-2,56.88810988,-11.0223555,Cytoplasm,Arp2/3 complex
O15514,45.92750842,7.02708751,Nucleus,
O15530;O15530-3;O15530-4;O15530-5;Q6A1A2,-15.11474408,1.729819466,,
O15533;O15533-3;O15533-2;O15533-4,59.11726852,12.06359972,ER,
O15541,-22.23469412,15.96723475,,
O43143,-37.2482274,26.62974298,Nucleolus,mRNA splicing
O43148-2;O43148,-22.74363437,28.24168187,Nucleus,
O43149,45.89123515,5.341374324,,
O43156,3.175030943,40.81164085,Cytoplasm,
O43159,-52.75174705,26.98456411,Nucleolus,nucleolar rRNA processing
O43166-3;O43166-2;O43166,2.820915585,37.33720329,Cytoplasm,
O43169,27.56543148,-42.86149059,Mitochondrion,
O43172-2;O43172,-36.64026133,13.06528255,Nucleus,mRNA splicing
O43175,-60.34641195,0.994218083,,
O43181,15.95430159,-50.75681122,Mitochondrion,complex I
O43237,11.61771772,54.52929778,Cytoplasm,
O43242,-48.37747833,-22.26241868,,
O43252,4.321361226,42.85446644,,
O43264;O43264-2,-2.06647282,-9.878590316,ER,
O43286,44.10451076,-15.83650633,,
O43290,-27.4085157,40.45919903,Nucleus,
O43292;O43292-2,-4.382550126,-15.40114059,ER,
O43299,2.342686884,38.61548524,,
O43314-2;O43314,5.618570633,-32.8325505,Cytoplasm,
O43324;O43324-2,-26.99914616,-23.41370156,,
O43353;O43353-2,0.1523537,29.05154419,Cytoplasm,
O43390;O43390-3,-44.38716385,14.44687282,,hnRNP
O43395,-25.9903783,15.66096606,Nucleus,
O43396,17.39316538,-10.56533044,,
O43399-2;O43399-4;O43399-3;O43399-6,19.94417724,-38.45426276,,
O43399;O43399-5;O43399-7,-36.78199283,-3.137634963,,
O43402,21.66793401,-30.48458607,Cytoplasm,
O43414;O43414-3;O43414-2,6.723651408,-40.57033745,,
O43427-2;O43427,32.9991399,-9.363683525,Nucleus,
O43432;O43432-3;O43432-4,29.486198,26.52514057,,
O43447;O43447-2,-46.09180666,8.515900011,,mRNA splicing
O43464;O43464-3;O43464-2,18.09612535,-43.9846379,Mitochondrion,
O43488,36.90150213,-21.67165639,Cytoplasm,
O43491,17.14308308,27.13445199,Cytoplasm,
O43493-3;O43493-2;O43493-5;O43493,17.90189633,-35.41835703,,
O43504,33.74544786,-29.1213334,Cytoplasm,
O43516;O43516-3;O43516-2;O43516-4,47.35957265,24.02034795,Cytoplasm,
O43583,24.05815087,-20.50508468,,
O43592,-24.64323631,-33.82163302,,
O43598;O43598-2,-17.63148116,-40.21321706,,
O43615,-45.45932184,-25.74017802,Mitochondrion,
O43617;O43617-2,29.21645934,-15.59182465,ER,
O43633,32.88971564,-16.31901286,,
O43660;O43660-2,-36.39858347,33.29567718,Nucleus,
O43663,-29.26715793,33.70575321,,
O43665-3;O43665-2;O43665,47.83649937,-24.33367325,,
O43670-2;O43670;O43670-4;O43670-3,-25.02582147,32.40695467,,
O43674;O43674-2,17.2169435,-51.02246075,Mitochondrion,complex I
O43676,14.90663718,-51.50505875,Mitochondrion,complex I
O43678;O43678-2,14.94589494,-50.88773817,Mitochondrion,complex I
O43681,30.59857154,-34.22059063,,
O43684-2;O43684,-42.53988525,27.02273323,Nucleus,
O43707;O43707-2;O43707-3,53.45713866,-4.465832162,,Actin regulation
O43708;O43708-3;O43708-2,-22.15004176,-46.2728761,Cytoplasm,
O43709;O43709-3,-15.60716432,48.21509398,,
O43719,-27.46784444,45.05163253,Nucleus,
O43747;O43747-2,22.43091846,-3.88442686,,
O43752,-21.32484961,15.16224318,,
O43760-2;O43760,-12.47170551,-50.91409322,,
O43765,-35.35438359,1.737505121,,
O43768;O43768-2;O43768-3;O43768-9;O43768-4;O43768-5;O43768-6;O43768-7;O43768-8,-20.83845901,-40.65766885,Cytoplasm,
O43772,50.59594672,-39.3979444,Mitochondrion,
O43776,-38.29196602,-29.13015029,Cytoplasm,
O43795-2,13.34673292,18.58276626,,
O43805,4.433378492,57.32315663,,
O43808,-10.12890303,-46.824886,Cytoplasm,
O43809,-43.81700867,18.67004172,Nucleus,
O43813,33.75210723,-2.637190297,Cytoplasm,
O43815;O43815-2,38.73114724,-15.93508595,Cytoplasm,
O43818,-53.9875967,18.66924526,Nucleolus,nucleolar rRNA processing
O43819,-6.188964674,-26.5657819,Mitochondrion,
O43823,-38.71765919,8.684107131,,
O43837;O43837-2,4.668832609,-53.7376176,Mitochondrion,
O43847;O43847-2,15.63786547,48.70434867,,
O43852;O43852-3;O43852-6;O43852-5;O43852-15;O43852-10,6.637341618,-30.98076115,Secreted,
O43865;O43865-2,45.36415524,-15.60663741,ER,
O43896,2.936587352,-28.86985845,Cytoplasm,
O43913,-12.87898789,47.31355273,Nucleus,
O43920,14.88020738,-51.22799744,Mitochondrion,complex I
O43924,-11.24303516,6.241768988,Cytoplasm,
O43929;O43929-2;O43929-3,-27.06832784,37.89204393,Nucleus,
O43933;O43933-2,-3.145857223,-34.00757048,Cytoplasm,
O60216,-28.92434043,34.73339201,Nucleus,
O60220,-21.49368824,-39.39840767,Mitochondrion,
O60231,-20.31553329,40.49708295,Nucleus,
O60232,-39.03156583,-0.642483708,,
O60234,50.71956569,-24.72433829,,
O60244,-12.06846857,45.67580293,Nucleus,
O60256;O60256-2,27.67840627,-11.55536116,,
O60264,-14.35771239,50.4064496,Nucleus,
O60271;O60271-3,9.875523257,-35.3420117,Cytoplasm,
O60281,-12.4351903,23.0573254,Nucleus,
O60287,-59.76060469,27.48787236,Nucleolus,
O60293;O60293-2,46.55305503,-29.15594,,
O60306,-33.37875746,34.94800842,Nucleus,
O60313-2;O60313,25.4625179,-42.64815208,Mitochondrion,
O60318,-16.10536739,30.93918551,,
O60333-2;O60333;O60333-4,3.543192193,-28.75715062,Mitochondrion,
O60341;O60341-2,-24.44296978,44.54681861,Nucleus,
O60343-3;O60343;O60343-2,12.10952807,54.35599358,Cytoplasm,
O60437,-14.77667313,-4.725064769,,
O60443,12.42394555,-21.38146581,Cytoplasm,
O60476,-19.07675724,-42.57939551,,
O60488-2;O60488,42.57921542,-21.56384196,,
O60493;O60493-2;O60493-4;O60493-3,27.35942997,2.479396786,,
O60499;O60499-2,-21.02275359,-31.55957409,,
O60502;O60502-3,-34.13811144,-0.384390917,,
O60504,12.26777351,29.19061823,,
O60506;O60506-2,-40.27228458,-3.153337586,,
O60508,-38.15991313,10.14180718,Nucleus,mRNA splicing
O60518,-17.16509558,29.4989441,,
O60524-3;O60524;O60524-4;O60524-5,-7.992003281,35.97212198,Nucleus,
O60547,-16.2411123,-11.8476992,,
O60563,-11.8561555,47.32693049,Nucleus,
O60566;O60566-3,7.80749986,55.63919877,,
O60568,-45.65447572,-29.44527629,ER,
O60573,-40.74996515,-1.552289878,,
O60610;O60610-2;O60610-3,51.05315671,-22.42655606,Cytoplasm,Actin regulation
O60613,42.46672649,-44.75062975,ER,
O60645-3;O60645-2;O60645,-46.19619165,-19.49622651,,
O60664;O60664-4,-36.59967125,-15.26510027,Cytoplasm,
O60678;O60678-2,-13.59568045,61.851709,Cytoplasm,
O60684,-48.93523293,-11.4982527,,
O60701;O60701-3;O60701-2,-7.136471916,66.05027555,,
O60711;O60711-2,16.32803887,-21.08880026,,
O60716-5;O60716-3;O60716-2;O60716;O60716-8;O60716-7;O60716-6;O60716-4;O60716-21;O60716-19;O60716-18;O60716-17;O60716-24;O60716-23;O60716-22;O60716-20;O60716-29;O60716-27;O60716-26;O60716-25;O60716-32;O60716-31;O60716-30;O60716-28,5.770055012,17.09643096,,
O60749,26.85808551,29.63660597,,
O60762,22.33195523,-7.159306598,ER,
O60763,42.64460835,-16.10976963,Cytoplasm,
O60783,-9.274120904,-24.98948132,Mitochondrion,
O60784;O60784-2;O60784-4;O60784-3,12.8394055,-41.23024656,Cytoplasm,
O60825;O60825-2,6.242630839,19.83852006,,
O60826,-11.26293861,30.53841577,,
O60828-2;O60828;O60828-5;O60828-4;O60828-3,-11.36145591,44.20263445,Nucleus,
O60830,-15.0486011,9.395973627,Mitochondrion,
O60831,33.77076938,-45.78216001,,
O60832;O60832-2,-38.03721597,26.26176389,,nucleolar rRNA processing
O60841,-41.31075427,-15.05189069,Cytoplasm,
O60869,-37.74017923,-0.291122464,,
O60870;O60870-2,-14.37940318,49.3835747,,
O60879-3,-53.16279583,-18.54607266,Cytoplasm,
O60884,-32.11199196,-20.03262327,,
O60885;O60885-2;O60885-3,-15.92036209,43.38914728,Nucleus,
O60888-3;O60888;O60888-2,0.827883263,-21.628875,,
O60925,-27.0430502,-6.296848143,,
O60934,-15.45291929,33.02673933,Nucleus,
O60942;O60942-2;O60942-4;O60942-3,-13.37310536,47.9076012,Nucleus,
O75027-2;O75027,49.98977927,-34.92182589,Mitochondrion,
O75044,-24.24910105,-8.782465909,,
O75064,-10.17901847,5.613244912,,
O75083;O75083-3,60.37002905,-8.034379226,Cytoplasm,Actin regulation
O75116,49.60521837,-13.09447548,,Actin regulation
O75122-3,-38.13710748,38.2912705,Cytoplasm,
O75127,-20.50700417,18.2524058,Mitochondrion,
O75131,-3.500589684,33.73863255,,
O75146;O75146-2,5.915274785,36.95946957,Cytoplasm,
O75150;O75150-4;O75150-3,34.57525931,36.26708959,Nucleus,
O75151,-21.05739398,0.538797431,Nucleolus,
O75152,-19.39947692,33.00335876,,
O75153,5.69222564,53.04712596,Cytoplasm,
O75165,35.37442372,-9.101686009,,
O75170-6;O75170-2;O75170-4;O75170-5;O75170,23.66600089,34.53024495,Cytoplasm,
O75175;O75175-2,41.28156964,20.38724497,,
O75179-7;O75179-2;O75179;O75179-6;O75179-4,8.71393854,40.21959543,,
O75182-2;O75182,-17.74418862,42.07158277,Nucleus,
O75190;O75190-4,29.32926166,1.962779755,,
O75208,4.941396118,-49.94442211,Mitochondrion,
O75223;O75223-3,-3.218946846,-51.57174234,,
O75251;O75251-2,14.39704438,-52.00400466,Mitochondrion,complex I
O75298;O75298-3;O75298-2,52.1206396,-23.73327815,ER,
O75306;O75306-2,14.66442524,-54.8439489,Mitochondrion,complex I
O75312,-37.53816821,-9.655705724,,
O75323;O75323-2,9.845750091,-41.76574122,,
O75340;O75340-2,22.968783,-21.20714028,,
O75347;O75347-2,-30.66415681,-7.3617487,Cytoplasm,
O75348,1.752755383,-23.12208182,,
O75351,39.23965857,-20.85122727,,
O75352-2;O75352,21.03876769,-52.43331896,,
O75362,-9.940034604,60.01164991,Nucleus,
O75367-3;O75367;O75367-2,2.603747927,-6.204668071,Nucleus,
O75368,36.75781377,-31.76426857,,
O75369-8,52.36335405,15.99103229,Cytoplasm,
O75376,-16.40024281,30.28546365,Nucleus,
O75380,16.34949622,-51.18672815,Mitochondrion,complex I
O75381-2;O75381,-21.71287949,-5.79024357,,
O75390,26.20365142,-50.59812342,Mitochondrion,
O75391,-30.10226674,29.56312168,Nucleus,
O75394,-11.71236042,-19.25387325,Mitochondrion,
O75396,35.24563157,-38.49190147,ER,
O75400,-13.90548062,36.08436499,Nucleus,
O75410;O75410-2;O75410-7;O75410-3;O75410-6;O75410-5;O75410-4,30.96741803,35.15171552,,
O75414,0.234192058,-41.70191724,,
O75419-2;O75419;O75419-3,6.443679014,49.03161025,,
O75427,5.928926657,36.05811712,,
O75431;O75431-2,5.527668654,-46.14334607,Mitochondrion,
O75436;O75436-2,31.94948842,-20.29423423,Cytoplasm,
O75438;O75438-2,16.32807611,-52.78840571,Mitochondrion,complex I
O75439,-48.0347385,-26.90711319,Mitochondrion,
O75446,-14.56560858,41.89164487,Nucleus,
O75448;O75448-2,-13.22218784,51.34665933,Nucleus,
O75475,-52.27235004,11.68896212,Nucleus,
O75477,8.117339806,27.89947314,ER,
O75489,13.08597933,-53.048545,Mitochondrion,complex I
O75494-3;O75494-4;O75494,-43.27520934,13.44811964,,mRNA splicing
O75521;O75521-2,10.63643213,-45.33660738,Mitochondrion,
O75530;O75530-3;O75530-2,-46.15681425,22.64426245,Nucleus,
O75531,-40.03245851,3.965820389,,
O75533,-29.69244844,31.70547467,Nucleus,
O75534;O75534-2;O75534-4;O75534-3,-4.350410817,64.68843697,Cytoplasm,
O75558,51.80872331,-29.85212587,,
O75569;O75569-3,-28.11639244,-46.66676075,Cytoplasm,
O75592-2;O75592,-45.81099627,-6.057682571,Nucleus,
O75607,-9.729019831,50.89247468,Nucleus,
O75608;O75608-2,19.32649539,-43.55156929,Cytoplasm,
O75616,32.78145634,41.46490794,Mitochondrion,
O75643,-35.97103008,16.22990398,Nucleus,mRNA splicing
O75663;O75663-2,3.668481259,-30.62611503,Cytoplasm,
O75676-2;O75676,2.51247829,48.78640326,Nucleus,
O75683,-27.35583044,51.43658788,Nucleolus,
O75688;O75688-4;O75688-5,-14.9268694,-10.45950331,Cytoplasm,
O75691,-56.48903967,19.92482766,Nucleolus,nucleolar rRNA processing
O75694;O75694-2,-55.09645886,9.547227081,Nucleus,Nuclear pore
O75695,61.08590799,-8.508823074,,
O75717;O75717-2,7.807769799,58.43003234,Nucleus,
O75718,16.06856175,50.61143957,Secreted,
O75746;O75746-2,16.02674579,-44.08586173,Mitochondrion,
O75787-2;O75787,-3.169256752,0.980032984,,
O75792,-39.15081562,21.59284186,Nucleus,
O75794,43.7002609,14.7275721,Cytoplasm,
O75817,-17.55432288,11.21784894,,
O75818-2;O75818,-19.51487652,34.74595845,Nucleolus,
O75821,-38.33796676,-4.780029181,,
O75822;O75822-3,-22.71214341,-0.368545652,Cytoplasm,
O75828,-31.88883392,-28.12537186,Cytoplasm,
O75832;O75832-2,-18.11442176,-38.97147995,,
O75843,14.55682297,47.16983622,,
O75844,35.6781019,-25.79927398,,
O75874,15.02669995,35.12891065,Cytoplasm,
O75879,-0.980740924,-10.84842109,Mitochondrion,
O75880,7.302470277,-46.68274542,Mitochondrion,
O75884,5.357924241,-35.397952,,
O75886;O75886-2,24.84711709,36.27653506,Cytoplasm,
O75909;O75909-4;O75909-1;O75909-2,-3.680283577,41.53831389,Nucleus,
O75915,48.65358794,-38.88947502,ER,
O75934,-35.7782023,9.503863402,Nucleolus,mRNA splicing
O75935;O75935-3;O75935-2,41.19427986,-14.8562207,Cytoplasm,
O75937,-42.50263917,25.21984871,,
O75940,-30.52257091,33.7848157,Nucleus,
O75947;O75947-2,23.78295797,-50.9330734,Mitochondrion,ATP synthase
O75955;O75955-2,56.61058099,-32.84437684,,
O75962;O75962-4;O75962-2;O75962-5,-29.64692531,12.92315763,Cytoplasm,
O75964,23.20457231,-50.498795,Mitochondrion,ATP synthase
O75976;O75976-2,11.53065905,28.16902433,,
O76003,-40.67214213,-14.11140429,Cytoplasm,
O76021,-59.82883348,-5.863385319,Nucleolus,
O76031,-30.99372318,59.86955818,Mitochondrion,
O76071,-38.12218679,-21.43406507,,
O76094;O76094-2,-57.37494351,-22.55785646,ER,
O94760;O94760-2,-13.39874452,-9.632703144,,
O94762;O94762-4,-24.25558594,3.940784341,,
O94776,-15.98199488,57.6104728,Nucleus,
O94804,54.22864761,-22.98696643,,
O94822;O94822-3,36.89123545,11.93906017,,
O94826,-3.101098792,-40.29227827,Mitochondrion,
O94832,-8.823922895,-61.94412283,,
O94842-3;O94842-2;O94842,35.83978613,32.67572484,Nucleus,
O94855;O94855-2,-9.504926294,35.06630985,ER,
O94874;O94874-2;O94874-3,20.9005251,-8.123807543,ER,
O94880-2,-9.116311736,10.43054888,,
O94888,-25.1435425,-48.32154652,Nucleus,
O94901-9,-6.137465737,-50.67362238,Nucleus,
O94903,-19.84443477,-13.2768717,,
O94905,7.843503126,-55.76899474,ER,
O94906;O94906-2,-49.13199298,6.077578018,Nucleus,mRNA splicing
O94913,-6.126642004,19.47755789,Nucleus,
O94915,26.31413394,23.74239296,,
O94919,51.46333814,17.84774915,Secreted,
O94925,17.30328133,31.72752461,Mitochondrion,
O94925-3,17.30513604,31.73426563,Mitochondrion,
O94927,0.949910078,32.27518306,Cytoplasm,
